ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 2: International Relations and Comparative Politics ,Area 2: International Relations and Comparative Politics ,,,POL,431,International Relations,4,POL 231,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 2: International Relations and Comparative Politics ,Area 2: International Relations and Comparative Politics ,,,POL,433,International Organization,4,POL 231,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 2: International Relations and Comparative Politics ,Area 2: International Relations and Comparative Politics ,,,POL,434,United States Foreign Policy,4,POL 231,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 2: International Relations and Comparative Politics ,Area 2: International Relations and Comparative Politics ,,,POL,435,"Capitalism, Nationalism, and Democracy",4,POL 241,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 2: International Relations and Comparative Politics ,Area 2: International Relations and Comparative Politics ,,,POL,436,International Political Economy,4,POL 231,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 2: International Relations and Comparative Politics ,Area 2: International Relations and Comparative Politics ,,,POL,437,International Conflict Resolution,4,POL 231,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 2: International Relations and Comparative Politics ,Area 2: International Relations and Comparative Politics ,,,POL,438,International Relations of East Asia,4,,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 2: International Relations and Comparative Politics ,Area 2: International Relations and Comparative Politics ,,,POL,439,Comparative Social Policy: The Welfare State in Europe and the Americas,4,POL 241,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 2: International Relations and Comparative Politics ,Area 2: International Relations and Comparative Politics ,,,POL,440,Topics in Comparative Politics,1-4,POL 241,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 2: International Relations and Comparative Politics ,Area 2: International Relations and Comparative Politics ,,,POL,441,Russia & Neighboring States Politics,4,POL 241,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 2: International Relations and Comparative Politics ,Area 2: International Relations and Comparative Politics ,,,POL,442,South Asia: Politics & Policy,4,POL 241,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 2: International Relations and Comparative Politics ,Area 2: International Relations and Comparative Politics ,,,POL,443,Middle East Politics,4,POL 241,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 2: International Relations and Comparative Politics ,Area 2: International Relations and Comparative Politics ,,,POL,444,Conflict and Development in Latin America,4,POL 241,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 2: International Relations and Comparative Politics ,Area 2: International Relations and Comparative Politics ,,,POL,445,Asian Pacific Rim: Politics & Policy,4,POL 241,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 2: International Relations and Comparative Politics ,Area 2: International Relations and Comparative Politics ,,,POL,446,African Politics,4,POL 241,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 2: International Relations and Comparative Politics ,Area 2: International Relations and Comparative Politics ,,,POL,447,European Democracies,4,POL 241,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 2: International Relations and Comparative Politics ,Area 2: International Relations and Comparative Politics ,,,POL,448,Political Development & Change,4,POL 241,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 3: Theory and Public Law ,Area 3: Theory and Public Law ,,,POL,311,Ancient & Medieval Political Philosophy,4,,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 3: Theory and Public Law ,Area 3: Theory and Public Law ,,,POL,312,Early Modern Political Philosophy,4,,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 3: Theory and Public Law ,Area 3: Theory and Public Law ,,,POL,313,Modern Political Philosophy,4,,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 3: Theory and Public Law ,Area 3: Theory and Public Law ,,,POL,410,Topics in Political Philosophy,1-4,,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 3: Theory and Public Law ,Area 3: Theory and Public Law ,,,POL,414,Early United States Political Thought,4,,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 3: Theory and Public Law ,Area 3: Theory and Public Law ,,,POL,415,Recent United States Political Thought,4,,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 3: Theory and Public Law ,Area 3: Theory and Public Law ,,,POL,450,Topics in Public Law,1-4,,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 3: Theory and Public Law ,Area 3: Theory and Public Law ,,,POL,451,Administrative Law,4,,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 3: Theory and Public Law ,Area 3: Theory and Public Law ,,,POL,453,Constitutional Law,4,,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 3: Theory and Public Law ,Area 3: Theory and Public Law ,,,POL,454,Civil Liberties,4,,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Restricted Electives,Area 3: Theory and Public Law ,Area 3: Theory and Public Law ,,,POL,455,American Legal Philosophy,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Common Core,,,,,POL,111,United States Government,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Common Core,,,,,POL,221,Quantitative Methods in the Social Sciences,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Common Core,,,,,POL,241,Introduction to Comparative Politics,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: American Politics and Policy ,,POL,260,Introduction to Public Policy and Administration,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: American Politics and Policy ,,POL,271,State & Local Government,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: American Politics and Policy ,,POL,321,Democracy and Citizenship,4,,POL 322,,POL 322
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: American Politics and Policy ,,POL,361,Public Budgeting,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: American Politics and Policy ,,POL,420,Topics in Participation and Behavior,1-4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: American Politics and Policy ,,POL,422,Campaigns & Elections,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: American Politics and Policy ,,POL,423,Political Parties,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: American Politics and Policy ,,POL,424,Women & Politics,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: American Politics and Policy ,,POL,426,Racial and Ethnic Politics,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: American Politics and Policy ,,POL,427,Political Psychology,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: American Politics and Policy ,,POL,428,"Media, Entertainment, & Politics",4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: American Politics and Policy ,,POL,460,Topics in Public Policy/Administration,1-4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: American Politics and Policy ,,POL,461,Environmental Politics,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: American Politics and Policy ,,POL,462,Collective Bargaining: Public Sector,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: American Politics and Policy ,,POL,463,Public Personnel Administration,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: American Politics and Policy ,,POL,470,Topics in Institutions & Process,1-4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: American Politics and Policy ,,POL,471,Public Opinion and Polling Methods,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: American Politics and Policy ,,POL,473,United States Congress,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: American Politics and Policy ,,POL,474,The Presidency of the United States,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: American Politics and Policy ,,POL,475,Judicial Process,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: American Politics and Policy ,,POL,476,Southern Politics,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: International Relations and Comparative Politics ,,POL,231,World Politics,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: International Relations and Comparative Politics ,,POL,430,Topics in International Relations,1-4,POL 231,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: International Relations and Comparative Politics ,,POL,431,International Relations,4,POL 231,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: International Relations and Comparative Politics ,,POL,433,International Organization,4,POL 231,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: International Relations and Comparative Politics ,,POL,434,United States Foreign Policy,4,POL 231,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: International Relations and Comparative Politics ,,POL,435,"Capitalism, Nationalism, and Democracy",4,POL 241,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: International Relations and Comparative Politics ,,POL,436,International Political Economy,4,POL 231,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: International Relations and Comparative Politics ,,POL,437,International Conflict Resolution,4,POL 231,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: International Relations and Comparative Politics ,,POL,438,International Relations of East Asia,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: International Relations and Comparative Politics ,,POL,439,Comparative Social Policy: The Welfare State in Europe and the Americas,4,POL 241,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: International Relations and Comparative Politics ,,POL,440,Topics in Comparative Politics,1-4,POL 241,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: International Relations and Comparative Politics ,,POL,441,Russia & Neighboring States Politics,4,POL 241,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: International Relations and Comparative Politics ,,POL,442,South Asia: Politics & Policy,4,POL 241,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: International Relations and Comparative Politics ,,POL,443,Middle East Politics,4,POL 241,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: International Relations and Comparative Politics ,,POL,444,Conflict and Development in Latin America,4,POL 241,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: International Relations and Comparative Politics ,,POL,445,Asian Pacific Rim: Politics & Policy,4,POL 241,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: International Relations and Comparative Politics ,,POL,446,African Politics,4,POL 241,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: International Relations and Comparative Politics ,,POL,447,European Democracies,4,POL 241,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: International Relations and Comparative Politics ,,POL,448,Political Development & Change,4,POL 241,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 3: Theory and Public Law ,,POL,311,Ancient & Medieval Political Philosophy,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 3: Theory and Public Law ,,POL,312,Early Modern Political Philosophy,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 3: Theory and Public Law ,,POL,313,Modern Political Philosophy,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 3: Theory and Public Law ,,POL,410,Topics in Political Philosophy,1-4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 3: Theory and Public Law ,,POL,414,Early United States Political Thought,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 3: Theory and Public Law ,,POL,415,Recent United States Political Thought,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 3: Theory and Public Law ,,POL,450,Topics in Public Law,1-4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 3: Theory and Public Law ,,POL,451,Administrative Law,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 3: Theory and Public Law ,,POL,453,Constitutional Law,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 3: Theory and Public Law ,,POL,454,Civil Liberties,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Restricted Electives,,,Area 3: Theory and Public Law ,,POL,455,American Legal Philosophy,4,,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Unrestricted Electives,,," Complete the Political Science electives requirement (minimum 8 credit hours total). BA students must complete 8 credits of electives at upper division level (300 level or above, two courses) in the areas of comparative politics/international relations (",Choose  8 Credit(s).,POL,465,Food and Agriculture Policy,4,,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Unrestricted Electives,,," Complete the Political Science electives requirement (minimum 8 credit hours total). BA students must complete 8 credits of electives at upper division level (300 level or above, two courses) in the areas of comparative politics/international relations (",Choose  8 Credit(s).,POL,466,Entertainment and Public Policy,4,,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Unrestricted Electives,,," Complete the Political Science electives requirement (minimum 8 credit hours total). BA students must complete 8 credits of electives at upper division level (300 level or above, two courses) in the areas of comparative politics/international relations (",Choose  8 Credit(s).,POL,467,Housing and Health Policy,4,,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Unrestricted Electives,,," Complete the Political Science electives requirement (minimum 8 credit hours total). BA students must complete 8 credits of electives at upper division level (300 level or above, two courses) in the areas of comparative politics/international relations (",Choose  8 Credit(s).,POL,491,Internship,,,,,
Political Science,BA,Political Science - BA,287,120,Undergraduate,2024-2025,Major Unrestricted Electives,,," Complete the Political Science electives requirement (minimum 8 credit hours total). BA students must complete 8 credits of electives at upper division level (300 level or above, two courses) in the areas of comparative politics/international relations (",Choose  8 Credit(s).,POL,492,Individual Study,,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Complete at least (8) credits of any political science course(s),Choose  8 Credit(s).,POL,100,Introduction to Politics,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Complete at least (8) credits of any political science course(s),Choose  8 Credit(s).,POL,101,Introduction to Public Life,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Complete at least (8) credits of any political science course(s),Choose  8 Credit(s).,POL,103W,Thinking About Politics,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Complete at least (8) credits of any political science course(s),Choose  8 Credit(s).,POL,104,Understanding the U.S. Constitution,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Complete at least (8) credits of any political science course(s),Choose  8 Credit(s).,POL,106,Politics in the World Community,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Complete at least (8) credits of any political science course(s),Choose  8 Credit(s).,POL,201,Issues in Politics,,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Complete at least (8) credits of any political science course(s),Choose  8 Credit(s).,POL,234,Model United Nations,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Complete at least (8) credits of any political science course(s),Choose  8 Credit(s).,POL,465,Food and Agriculture Policy,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Complete at least (8) credits of any political science course(s),Choose  8 Credit(s).,POL,466,Entertainment and Public Policy,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Complete at least (8) credits of any political science course(s),Choose  8 Credit(s).,POL,467,Housing and Health Policy,4,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Complete at least (8) credits of any political science course(s),Choose  8 Credit(s).,POL,491,Internship,,,,,
Political Science,BS,Political Science - BS,209,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Complete at least (8) credits of any political science course(s),Choose  8 Credit(s).,POL,492,Individual Study,,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,510,Topics in Political Philosophy,,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,514,Early United States Political Thought,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,515,Recent United States Political Thought,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,520,Topics in Participation & Behavior,,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,522,Campaigns & Elections,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,523,Political Parties,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,524,Women & Politics,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,525,Terrorism and Political Violence,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,526,Racial and Ethnic Politics,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,527,Political Psychology,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,530,Topics in International Relations,,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,531,International Relations,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,533,International Organization,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,534,United States Foreign Policy,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,535,"Capitalism, Nationalism, and Democracy",3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,536,International Political Economy,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,537,International Conflict Resolution,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,538,International Relations of East Asia,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,539,Comparative Social Policy: The Welfare State in Europe & the Americas,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,540,Topics in Comparative Politics,,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,541,Russia & Neighboring States Politics,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,542,South Asia: Politics & Policy,3,,,,
