ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Technical Communication,GC,Technical Communication - GC,6306,20,Graduate,2024-2025,Restricted Electives,,, ,Choose  11 Credit(s).,ENG,676,Instructional Design for Technical Communicators,3,,,,
Technical Communication,GC,Technical Communication - GC,6306,20,Graduate,2024-2025,Restricted Electives,,, ,Choose  11 Credit(s).,ENG,680,Proposals,1-3,,,,
Technical Communication,GC,Technical Communication - GC,6306,20,Graduate,2024-2025,Restricted Electives,,, ,Choose  11 Credit(s).,ENG,681,User Experience,3,,,,
Technical Communication,MS,Technical Communication - MS,201830606,32,Graduate,2024-2025,Common Core,,,,,ENG,571,Visual Technical Communication,3,,,,
Technical Communication,MS,Technical Communication - MS,201830606,32,Graduate,2024-2025,Common Core,,,,,ENG,575,Editing Technical Publications,3,,,,
Technical Communication,MS,Technical Communication - MS,201830606,32,Graduate,2024-2025,Common Core,,,,,ENG,665,Foundations of Technical Communication,3,,,,
Technical Communication,MS,Technical Communication - MS,201830606,32,Graduate,2024-2025,Common Core,,,,,ENG,667,Content Strategy,3,,,,
Technical Communication,MS,Technical Communication - MS,201830606,32,Graduate,2024-2025,Restricted Electives,,, Courses cannot double-count towards both required and elective credits.,Choose  11 Credit(s).,ENG,566,Usability,3,,,,
Technical Communication,MS,Technical Communication - MS,201830606,32,Graduate,2024-2025,Restricted Electives,,, Courses cannot double-count towards both required and elective credits.,Choose  11 Credit(s).,ENG,567,International Technical Communication,1-4,,,,
Technical Communication,MS,Technical Communication - MS,201830606,32,Graduate,2024-2025,Restricted Electives,,, Courses cannot double-count towards both required and elective credits.,Choose  11 Credit(s).,ENG,569,Project Management in Technical Communication,3,,,,
Technical Communication,MS,Technical Communication - MS,201830606,32,Graduate,2024-2025,Restricted Electives,,, Courses cannot double-count towards both required and elective credits.,Choose  11 Credit(s).,ENG,572,Topics in Technical Communication,1-4,,,,
Technical Communication,MS,Technical Communication - MS,201830606,32,Graduate,2024-2025,Restricted Electives,,, Courses cannot double-count towards both required and elective credits.,Choose  11 Credit(s).,ENG,577,"Technical Documentation, Policies, & Procedures",3,,,,
Technical Communication,MS,Technical Communication - MS,201830606,32,Graduate,2024-2025,Restricted Electives,,, Courses cannot double-count towards both required and elective credits.,Choose  11 Credit(s).,ENG,583,Writing About Health and Medicine,3,,,,
Technical Communication,MS,Technical Communication - MS,201830606,32,Graduate,2024-2025,Restricted Electives,,, Courses cannot double-count towards both required and elective credits.,Choose  11 Credit(s).,ENG,673,Research Methods for the Technical Communicator,3,,,,
Technical Communication,MS,Technical Communication - MS,201830606,32,Graduate,2024-2025,Restricted Electives,,, Courses cannot double-count towards both required and elective credits.,Choose  11 Credit(s).,ENG,674,Topics in Technical Communication,1-3,,,,
Technical Communication,MS,Technical Communication - MS,201830606,32,Graduate,2024-2025,Restricted Electives,,, Courses cannot double-count towards both required and elective credits.,Choose  11 Credit(s).,ENG,676,Instructional Design for Technical Communicators,3,,,,
Technical Communication,MS,Technical Communication - MS,201830606,32,Graduate,2024-2025,Restricted Electives,,, Courses cannot double-count towards both required and elective credits.,Choose  11 Credit(s).,ENG,677,Individual Study,1-4,,,,
Technical Communication,MS,Technical Communication - MS,201830606,32,Graduate,2024-2025,Restricted Electives,,, Courses cannot double-count towards both required and elective credits.,Choose  11 Credit(s).,ENG,678,Technical & Scientific Prose,3,,,,
Technical Communication,MS,Technical Communication - MS,201830606,32,Graduate,2024-2025,Restricted Electives,,, Courses cannot double-count towards both required and elective credits.,Choose  11 Credit(s).,ENG,679,Rhetorical Theory Applied to Technical Documents,3,,,,
Technical Communication,MS,Technical Communication - MS,201830606,32,Graduate,2024-2025,Restricted Electives,,, Courses cannot double-count towards both required and elective credits.,Choose  11 Credit(s).,ENG,680,Proposals,1-3,,,,
Technical Communication,MS,Technical Communication - MS,201830606,32,Graduate,2024-2025,Restricted Electives,,, Courses cannot double-count towards both required and elective credits.,Choose  11 Credit(s).,ENG,681,User Experience,3,,,,
Technical Communication,MS,Technical Communication - MS,201830606,32,Graduate,2024-2025,Restricted Electives,,, Courses cannot double-count towards both required and elective credits.,Choose  11 Credit(s).,ENG,698,Internship,1-6,,,,
Technical Communication,MS,Technical Communication - MS,201830606,32,Graduate,2024-2025,Other Graduation Requirements,,,Internship Students with industry experience may petition to substitute 3 600-level elective credits for the internship requirement. Students may take up to 3 additional internship credits towards restricted electives.,Choose  3 Credit(s).,ENG,698,Internship,1-6,,,,
Technical Communication,MS,Technical Communication - MS,201830606,32,Graduate,2024-2025,Research/Methods Course(s),,,Research ,Choose  3 Credit(s).,ENG,673,Research Methods for the Technical Communicator,3,,,,
Technical Communication,MS,Technical Communication - MS,201830606,32,Graduate,2024-2025,Research/Methods Course(s),,,Research ,Choose  3 Credit(s).,ENG,681,User Experience,3,,,,
Technical Communication,MS,Technical Communication - MS,201830606,32,Graduate,2024-2025,Capstone Course,,,,,ENG,696,Capstone Course in Technical Communication,3,,,,
